Domain,"Variable Description","Key Analysis Variable","Flags for Analysis","ANALYSIS DATASET(S) INCLUSION","CB STANDARIZED variable
[max 12 characters = study (C_) + domain (XX) + name (8 char)]","CB SOURCE variable","Type/ Length",Origin,"CB categorical values as they appear on Survey","CB calculation/format","CB timepoints (weeks)","CB SOURCE: Data table(s) (for raw variables only)","CB CRF # (for raw variables only) and Q#",Notes,"BACPAC Harmonization","Reference Documents (original ques/measurement text, code, etc)",References
Anthropometrics,"BMI (kg/m^2) categories",,,,C_ANBMICAT,C_ANBMICAT,Num/1,Derived,NA,"BMICAT.
BMI, calculated, by category.
7 categories:
1=Severely underweight: <16.5
2=Underweight: 16.5 - 18.4
3=Normal weight: 18.5 to 24.9
4=Overweight: 25 to 29.9
5=Obesity class I: 30 to 34.9
6=Obesity class II: 35 to 39.9
7=Obesity class III: >= 40

  if C_ANBMISRCL>. then
    C_ANBMICAT=(C_ANBMISRCL<16.5)+2*(16.5<=C_ANBMISRCL<18.5)+3*(18.5<=C_ANBMISRCL<25)+4*(25<=C_ANBMISRCL<30)+5*(30<=C_ANBMISRCL<35)+6*(35<=C_ANBMISRCL<40)+7*(C_ANBMISRCL>=40);","-1 if Screening, or  0, 52, 104 if Anthropometry",NA,NA,"If Visit 1, 53 or 105 occurs, may need to combine data with Visit 0, 52 or 104 data",,,
Anthropometrics,"Is BMI > 40 (kg/m^2) or does participant have > 60cm body circumference (including arms down to the sides)?",,"Must be No to be Eligible for CB",,C_ANBMI40,SCNBMI40,Num/1,Raw,"0, No | 1, Yes","NOTE: this is a subquestion of SCNVCONSENT, see annotated form/mockup for branching logic

Format=YESNO     Possible Values=0,1 
0: No
1: Yes",-1,"tblSCN: CRF1: Screening Form","CRF #1|Q26c","[Examiner: waist/body circumference may be in the medical record or if you think the participant (ppt) might be at risk of having > 60 cm body circumference (including arms down to the sides)...

 ask the ppt to measure this at home before he/she comes in for the MRI scans] ",,,
Socioeconomic,"Number of people living in household including self",Yes,,,C_SEHHNUM,SCNHHNUM,"Num/2 ",Raw,NA,"NOTE: this is a subquestion of SCNVCONSENT, see annotated form/mockup for branching logic

Continuous Range: (1-15)",-1,"tblSCN: CRF1: Screening Form","CRF #1|Q9","Per Emilia DeMarchis to calculate federal poverty level would also need 1)  # of people in house dependent on income and 2) # of people in household 17 or less",BACPAC,"BacPac MDS Demographics",
Socioeconomic,"Annual household income from all sources",Yes,,,C_SEHHINCOME,SCNHHINCOME,Num/2,Raw,"1, Less than $10,000 | 2, $10,000 to $24,999 | 3, $25,000 to $34,999 | 4, $35,000 to $49,999 | 5, $50,000 to $74,999 | 6, $75,000 to $99,999 | 7, $100,000 to $149,999 | 8, $150,000 to $199,999 | 9, $200,000 or more | 10, Prefer not to answer","NOTE: this is a subquestion of SCNVCONSENT, see annotated form/mockup for branching logic

Format=INCO     Possible Values=1,2,3,4,5,6,7,8,9,10
1: Less than 10,000
2: 10,000 to 24,999
3: 25,000 to 34,999
4: 35,000 to 49,999
5: 50,000 to 74,999
6: 75,000 to 99,999
7: 100,000 to 149,999
8: 150,000 to 199,999
9: 200,000 or more
10: Prefer not to answer",-1,"tblSCN: CRF1: Screening Form","CRF #1|Q10",ordinal,BACPAC,"BacPac MDS Demographics",
Socioeconomic,"Education Level",Yes,,,C_SEEDLEVEL,SCNEDLEVEL,Num/1,Raw,"1, Did not complete Secondary School (or less than High School) | 2, Some Secondary School (or High School) education | 3, High School (or Secondary School) Degree complete | 4, Associate's or Technical Degree complete | 5, College or Baccalaureate Degree complete | 6, Doctoral or Postgraduate education","NOTE: this is a subquestion of SCNVCONSENT, see annotated form/mockup for branching logic

Format=EDUC     Possible Values=1,2,3,4,5,6 
1: Did not complete secondary(less than HS)
2: Some Secondary School education
3: High School (secondary) Degree complete
4: Associates or Technical Degree complete
5: College or Baccalaureate Degree
6: Doctoral or Postgraduate education",-1,"tblSCN: CRF1: Screening Form","CRF #1|Q11",,BACPAC,"NIH RTF #38; BacPac MDS Demographics",
Socioeconomic,"Current employment status",Yes,,,C_SEEMPSTAT,SCNEMPSTAT,Num/1,Raw,"1, Full-time employment | 2, Part-time employment | 3, Not employed","NOTE: this is a subquestion of SCNVCONSENT, see annotated form/mockup for branching logic

Format=EMPS     Possible Values=1,2,3 
1: Full-time employment
2: Part-time employment
3: Not Employed",-1,"tblSCN: CRF1: Screening Form","CRF #1|Q12","Form instructions: ""[Please note: Not employed includes: not employed outside of the house (i.e., keeping house), disabled, retired, and students]""",BACPAC,"NIH RTF # 37; BacPac MDS Demographics",
Socioeconomic,"Current occupation classification",,,,C_SEOCCUPCLS,"CURRENT_OCCUPATION_5CAT ",Num/1,Derived,NA,"OCCUP5F	
1=""1:White collar""
2=""2:Blue collar""
3=""3:Keeping house""
4=""4:Disabled""
5=""5:Other"" 

IF scnjob IN (1,2,3,4,6,12) THEN CURRENT_OCCUPATION_5CAT =1;
ELSE IF scnjob IN (5,7,8,9) THEN CURRENT_OCCUPATION_5CAT =2;
ELSE IF scnjob=10 THEN CURRENT_OCCUPATION_5CAT =3;
ELSE IF scnjob=11 THEN CURRENT_OCCUPATION_5CAT =4;
ELSE IF scnjob=13 THEN CURRENT_OCCUPATION_5CAT =5;",-1,NA,NA,,,,
Socioeconomic,"Current relationship status ",Yes,"format values differ for CB vs BH",,C_SERELSTAT,SCNMARISTAT,Num/1,Raw,"1, Never married | 2, Married | 3, Domestic Partner (living with partner as if married) | 4, Divorced | 5, Separated | 6, Widowed","NOTE: this is a subquestion of SCNVCONSENT, see annotated form/mockup for branching logic

Format=MARSTA     Possible Values=1,2,3,4,5,6 
1: Never married
2: Married
3: Domestic Partner
4: Divorced
5: Separated
6: Widowed",-1,"tblSCN: CRF1: Screening Form","CRF #1|Q15",,HEAL,"BacPac MDS Demographics",
Socioeconomic,"How often unfairly treated due to ethnicity or race [UCSF discrimination]",Yes,"format values differ for CB vs BH",,C_SEMISTREAT,"HS1DISCRIM, HS2DISCRIM",Num/1,Raw,"1, Never | 2, Sometimes | 3, Often | 4, Always","Format=EDDX     Possible Values=1,2,3,4
1: Never
2: Sometimes
3: Often
4: Always","0, 12, 26, 52, 78, 104","tblHS1: CRF7a: Health Status, tblHS2: CRF7b: Health Status F/U","CRF #7a|Q41, CRF #7b|Q41","Scoring per Wolf
UCSF discrimination",NA,"BacPac Biobehavioral WG reccomendations",
Socioeconomic,"Financial strain classification",Yes,,,C_SEFINSTRCL,FINANCIAL_STRAIN_CLASS,Num/1,Derived,NA,"STRAIN2F	
1=""1:Low financial strain""
2=""2:High financial strain""

IF hs1fsscl IN (1,2) THEN FINANCIAL_STRAIN_CLASS=2;
ELSE IF hs1fsscl IN (3,4) THEN FINANCIAL_STRAIN_CLASS=1;",0,NA,NA,"""Don't know"" considered missing per Wolf",NA,,
Socioeconomic,"PROMIS Social Isolation 4a T-score (range:34.8-74.2, higher=more isolated)",Yes,,,C_SEPROMISOT,PROMIS_SOCIAL_ISOLATION_TSCORE,Num/2.1,Derived,NA,"Continuous / BEST12.

Ppt must answer all questions to receive a t-score.

Mapped raw score to T-score using Social Isolation 4a scoring table (see 
https://staging.healthmeasures.net/images/PROMIS/manuals/Scoring_Manuals_/PROMIS_Social_Isolation_Scoring_Manual.pdf)	
(NOTE: NO TSCORE MAPPINGS FROM DAC, USED MAPPING FROM PROMIS SCORING MANUAL)
IF PROMIS_SOCIAL_ISOLATION_RAW_SUM=4 THEN PROMIS_SOCIAL_ISOLATION_TSCORE=34.8;	
ELSE IF PROMIS_SOCIAL_ISOLATION_RAW_SUM=5 THEN PROMIS_SOCIAL_ISOLATION_TSCORE=40.4;
ELSE IF PROMIS_SOCIAL_ISOLATION_RAW_SUM=6 THEN PROMIS_SOCIAL_ISOLATION_TSCORE=43.3;
ELSE IF PROMIS_SOCIAL_ISOLATION_RAW_SUM=7 THEN PROMIS_SOCIAL_ISOLATION_TSCORE=45.7;
ELSE IF PROMIS_SOCIAL_ISOLATION_RAW_SUM=8 THEN PROMIS_SOCIAL_ISOLATION_TSCORE=47.8;
ELSE IF PROMIS_SOCIAL_ISOLATION_RAW_SUM=9 THEN PROMIS_SOCIAL_ISOLATION_TSCORE=49.8;
ELSE IF PROMIS_SOCIAL_ISOLATION_RAW_SUM=10 THEN PROMIS_SOCIAL_ISOLATION_TSCORE=51.8;
ELSE IF PROMIS_SOCIAL_ISOLATION_RAW_SUM=11 THEN PROMIS_SOCIAL_ISOLATION_TSCORE=53.9;
ELSE IF PROMIS_SOCIAL_ISOLATION_RAW_SUM=12 THEN PROMIS_SOCIAL_ISOLATION_TSCORE=56.1;
ELSE IF PROMIS_SOCIAL_ISOLATION_RAW_SUM=13 THEN PROMIS_SOCIAL_ISOLATION_TSCORE=58.1;
ELSE IF PROMIS_SOCIAL_ISOLATION_RAW_SUM=14 THEN PROMIS_SOCIAL_ISOLATION_TSCORE=60.1;
ELSE IF PROMIS_SOCIAL_ISOLATION_RAW_SUM=15 THEN PROMIS_SOCIAL_ISOLATION_TSCORE=62.0;
ELSE IF PROMIS_SOCIAL_ISOLATION_RAW_SUM=16 THEN PROMIS_SOCIAL_ISOLATION_TSCORE=63.8;
ELSE IF PROMIS_SOCIAL_ISOLATION_RAW_SUM=17 THEN PROMIS_SOCIAL_ISOLATION_TSCORE=65.5;
ELSE IF PROMIS_SOCIAL_ISOLATION_RAW_SUM=18 THEN PROMIS_SOCIAL_ISOLATION_TSCORE=67.5;
ELSE IF PROMIS_SOCIAL_ISOLATION_RAW_SUM=19 THEN PROMIS_SOCIAL_ISOLATION_TSCORE=69.9;
ELSE IF PROMIS_SOCIAL_ISOLATION_RAW_SUM=20 THEN PROMIS_SOCIAL_ISOLATION_TSCORE=74.2;	","0, 12, 26, 52, 78, 104",NA,NA,"Ppt must answer all questions to receive a t-score. For scoring see 
https://staging.healthmeasures.net/images/PROMIS/manuals/Scoring_Manuals_/PROMIS_Social_Isolation_Scoring_Manual.pdf.  Population means provided.",NA,"PROMIS Social Isolation 4a",
"LBP characteristics","Average low-back pain in past 7 days (0=no pain, 10=worst imaginable pain) [NIH Q3 + BACPAC MinData]",,"use BP2 for week 12, 26 and if not available use TQ2",,C_LBLBPPINT,"BP1LBPPINT1, BP2LBPPINT1, TQ2LBPPINT1",Num/2,Raw,"0, 0 - No pain | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 - Worst imaginable pain","Format=PAINS     Possible Values=0,1,2,3,4,5,6,7,8,9,10 
0: 0 - No Pain
1: 1
2: 2
3: 3
4: 4
5: 5
6: 6
7: 7
8: 8
9: 9
10: 10 - Worst imaginable pain","0, 8, 12, 16, 20, 26, 30, 34, 52, 78, 104","tblBP1: CRF6a: Back-Related Pain Status; tblBP2: CRF6b: Back-Related Pain Status F/U, tblTQ2: CRF20b: Treatment Categories F/U Q (M2-8)","CRF #6a|#6b|Q1, CRF #20b|Q4","This is independent from PEG question 	
NIH Q3 + BACPAC MinData",BACPAC,"NIH RTF #3; BacPac MDS Outcomes Assessment ",
"LBP characteristics","Was the Q1 body map (pain) shaded?",,,,C_LBMAPPAIN,MAPPAIN,Num/1,Raw,"1, Yes | 0, No, the participant marked ""or check this box, if you have NOT felt any body pain in the past 7 days.""","Format=YESNO     Possible Values=0,1 
0: No
1: Yes","0, 52, 104","tblMAP: CRF9: Body Map","CRF #9|Q1",,,,
"LBP characteristics","Was the Q2 body map (numbness) shaded?",,,,C_LBMAPNUMB,MAPNUMB,Num/1,Raw,"1, Yes | 0, No, the participant marked ""or check this box, if you have NOT felt any NUMBNESS in the past 7 days.""","Format=YESNO     Possible Values=0,1 
0: No
1: Yes","0, 52, 104","tblMAP: CRF9: Body Map","CRF #9|Q2",,,,
"LBP characteristics","Was the Q3 body map (pins and needles) shaded?",,,,C_LBMAPPIN,MAPPIN,Num/1,Raw,"1, Yes | 0, No, the participant marked ""or check this box, if you have NOT felt any PINS AND NEEDLES in the past 7 days.""","Format=YESNO     Possible Values=0,1 
0: No
1: Yes","0, 52, 104","tblMAP: CRF9: Body Map","CRF #9|Q3",,,,
"LBP characteristics","Trajectory stratum (back pain last 6 months)",Yes,,,C_LBBPTRAJ,MAPCHANGE,Num/1,Raw,"1, A - single significant episode of pain	
2, B - A few episodes of back pain	
3, C - Some back pain most of the time	
4, D - Pain that goes up and down	
5, E - Severe pain all/nearly all time
6, F - Back pain gotten gradually worse	
7, G - Back pain improved gradually	
8, H - Only the odd day with mild pain","Format=BPAX     Possible Values=1,2,3,4,5,6,7,8
1: A - single significant episode of pain
2: B - A few episodes of back pain
3: C - Some back pain most of the time
4: D - Pain that goes up and down
5: E - Severe pain all/nearly all time 
6: F - Back pain gotten gradually worse
7: G - Back pain improved gradually
8: H - Only the odd day with mild pain","0, 52, 104","tblMAP: CRF9: Body Map","CRF #9|Q4","Next are some descriptions of how some people's BACK PAIN CAN CHANGE OVER TIME, with pictures to show how their pain might go up or down. Please look at the graphs and then mark the letter assigned to the one option that you think comes closest to how your pain has been OVER THE LAST SIX MONTHS.",NA,?,
Mood,"PHQ-4: Patient health questionnaire score (range: 0-12, higher=more bothered)",Yes,,,C_MOPHQ4SCOR,PHQ4_BOTHERED_SCORE,Num/2.1,Derived,NA,"Continuous / BEST12.

Ppt does not have to answer all questions to receive a score.

PHQ4_BOTHERED_SCORE=4*(MEAN(hs1gad01,hs1gad02,hs1phq01,hs1phq02));","0, 12, 26, 52, 78, 104",NA,NA,"Ppt does not have to answer all questions to receive a score.",NA,PHQ-4,
Mood,"PROMIS Anxiety 4a T-score (range: 40.3-81.6, higher=more anxiety)",Yes,,,C_MOPROMANXT,PROMIS_ANXIETY_TSCORE,Num/2.1,Derived,NA,"Continuous / BEST12.

Ppt must answer all questions to receive a t-score.

Mapped raw score to T-score using Anxiety 4a scoring table 
IF PROMIS_ANXIETY_RAW_SUM=4 THEN PROMIS_ANXIETY_TSCORE=40.3;
ELSE IF PROMIS_ANXIETY_RAW_SUM=5 THEN PROMIS_ANXIETY_TSCORE=48; 
ELSE IF PROMIS_ANXIETY_RAW_SUM=6 THEN PROMIS_ANXIETY_TSCORE=51.2; 
ELSE IF PROMIS_ANXIETY_RAW_SUM=7 THEN PROMIS_ANXIETY_TSCORE=53.7; 
ELSE IF PROMIS_ANXIETY_RAW_SUM=8 THEN PROMIS_ANXIETY_TSCORE=55.8; 
ELSE IF PROMIS_ANXIETY_RAW_SUM=9 THEN PROMIS_ANXIETY_TSCORE=57.7; 
ELSE IF PROMIS_ANXIETY_RAW_SUM=10 THEN PROMIS_ANXIETY_TSCORE=59.5; 
ELSE IF PROMIS_ANXIETY_RAW_SUM=11 THEN PROMIS_ANXIETY_TSCORE=61.4; 
ELSE IF PROMIS_ANXIETY_RAW_SUM=12 THEN PROMIS_ANXIETY_TSCORE=63.4; 
ELSE IF PROMIS_ANXIETY_RAW_SUM=13 THEN PROMIS_ANXIETY_TSCORE=65.3; 
ELSE IF PROMIS_ANXIETY_RAW_SUM=14 THEN PROMIS_ANXIETY_TSCORE=67.3; 
ELSE IF PROMIS_ANXIETY_RAW_SUM=15 THEN PROMIS_ANXIETY_TSCORE=69.3; 
ELSE IF PROMIS_ANXIETY_RAW_SUM=16 THEN PROMIS_ANXIETY_TSCORE=71.2; 
ELSE IF PROMIS_ANXIETY_RAW_SUM=17 THEN PROMIS_ANXIETY_TSCORE=73.3; 
ELSE IF PROMIS_ANXIETY_RAW_SUM=18 THEN PROMIS_ANXIETY_TSCORE=75.4; 
ELSE IF PROMIS_ANXIETY_RAW_SUM=19 THEN PROMIS_ANXIETY_TSCORE=77.9; 
ELSE IF PROMIS_ANXIETY_RAW_SUM=20 THEN PROMIS_ANXIETY_TSCORE=81.6; ","0, 12, 26, 52, 78, 104",NA,NA," Ppt must answer all questions to receive a t-score. For scoring table see https://staging.healthmeasures.net/images/PROMIS/manuals/PROMIS_Anxiety_Scoring_Manual.pdf",BACPAC,"Promis anxiety 4a",
Mood,"PROMIS Depression 4a T-score (range: 41.0-79.4, higher=more depressed)",Yes,,,C_MOPROMDEPT,PROMIS_DEPRESSION_TSCORE,Num/2.1,Derived,NA,"Continuous / BEST12.

Ppt must answer all questions to receive a t-score.

Mapped raw score to T-score using Depression 4a scoring table 
IF PROMIS_DEPRESSION_RAW_SUM=4 THEN PROMIS_DEPRESSION_TSCORE=41.0;
ELSE IF PROMIS_DEPRESSION_RAW_SUM=5 THEN PROMIS_DEPRESSION_TSCORE=49.0;
ELSE IF PROMIS_DEPRESSION_RAW_SUM=6 THEN PROMIS_DEPRESSION_TSCORE=51.8;
ELSE IF PROMIS_DEPRESSION_RAW_SUM=7 THEN PROMIS_DEPRESSION_TSCORE=53.9;
ELSE IF PROMIS_DEPRESSION_RAW_SUM=8 THEN PROMIS_DEPRESSION_TSCORE=55.7;
ELSE IF PROMIS_DEPRESSION_RAW_SUM=9 THEN PROMIS_DEPRESSION_TSCORE=57.3;
ELSE IF PROMIS_DEPRESSION_RAW_SUM=10 THEN PROMIS_DEPRESSION_TSCORE=58.9;
ELSE IF PROMIS_DEPRESSION_RAW_SUM=11 THEN PROMIS_DEPRESSION_TSCORE=60.5;
ELSE IF PROMIS_DEPRESSION_RAW_SUM=12 THEN PROMIS_DEPRESSION_TSCORE=62.2;
ELSE IF PROMIS_DEPRESSION_RAW_SUM=13 THEN PROMIS_DEPRESSION_TSCORE=63.9;
ELSE IF PROMIS_DEPRESSION_RAW_SUM=14 THEN PROMIS_DEPRESSION_TSCORE=65.7;
ELSE IF PROMIS_DEPRESSION_RAW_SUM=15 THEN PROMIS_DEPRESSION_TSCORE=67.5;
ELSE IF PROMIS_DEPRESSION_RAW_SUM=16 THEN PROMIS_DEPRESSION_TSCORE=69.4;
ELSE IF PROMIS_DEPRESSION_RAW_SUM=17 THEN PROMIS_DEPRESSION_TSCORE=71.2;
ELSE IF PROMIS_DEPRESSION_RAW_SUM=18 THEN PROMIS_DEPRESSION_TSCORE=73.3;
ELSE IF PROMIS_DEPRESSION_RAW_SUM=19 THEN PROMIS_DEPRESSION_TSCORE=75.7;
ELSE IF PROMIS_DEPRESSION_RAW_SUM=20 THEN PROMIS_DEPRESSION_TSCORE=79.4;","0, 12, 26, 52, 78, 104",NA,NA," Ppt must answer all questions to receive a t-score. For scoring table see https://staging.healthmeasures.net/images/PROMIS/manuals/PROMIS_Anxiety_Scoring_Manual.pdf",BACPAC,"Promis depression 4a",
Mood,"History of Trauma [from PC-PTSD-5]",,,,C_MOTRAUMAHX,TRAUMA_HX,Num/1,Derived,NA,"TRAUMHXF	
0=""0:None""
1=""1:Childhood""
2=""2:Adult""
3=""3:Both""

IF ql2ptexpr=0 THEN TRAUMA_HX=0;
ELSE IF ql2ptexpr=1 THEN DO; 
	if QL2PTWHENC=1 and QL2PTWHENA=1 then TRAUMA_HX=3;
	else if QL2PTWHENC=1 then TRAUMA_HX=1;
	else if QL2PTWHENA=1 then TRAUMA_HX=2;
	else  TRAUMA_HX=0;
END;","0, 12, 26, 52, 78, 104",NA,NA,,,,
Mood,"Number of childhood PTSD symptoms (range: 0-5, higher=more trauma hx) [from PC-PTSD-5]",,,,C_MOPTSDCHNM,PTSD_CHILDHOOD_NUM,Num/1?,Derived,NA,"Continuous/BEST12.

IF TRAUMA_HX IN (0,2) THEN PTSD_CHILDHOOD_NUM=0;
ELSE IF TRAUMA_HX IN (1,3) THEN PTSD_CHILDHOOD_NUM=5*MEAN(QL2PTNGHT,QL2PTAVOD,QL2PTGARD,QL2PTNUMB,QL2PTGIL);","0, 12, 26, 52, 78, 104",NA,NA,,,,
Mood,"Childhood PTSD diagnosis [from PC-PTSD-5]",,,,C_MOPTSDCHDX,PTSD_CHILDHOOD_DX,Num/1,Derived,NA,"YNF	
0=""0:No""
1=""1:Yes""
	
IF PTSD_CHILDHOOD_NUM>=3 THEN PTSD_CHILDHOOD_DX=1;
ELSE IF 0<=PTSD_CHILDHOOD_NUM<3 THEN PTSD_CHILDHOOD_DX=0;","0, 12, 26, 52, 78, 104",NA,NA,,,,
Mood,"History of childhood trauma [from PC-PTSD-5]",,,,C_MOTRAUCHHX,"TRAUMA_HX_CHILDHOOD ",Num/1,Derived,NA,"YNF	
0=""0:No""
1=""1:Yes""

**** HISTORY OF CHILDHOOD TRAUMA (ADDED 7/16/23) ****;
IF TRAUMA_HX IN (1,3) THEN TRAUMA_HX_CHILDHOOD=1;
ELSE IF TRAUMA_HX IN (0,2) THEN TRAUMA_HX_CHILDHOOD=0;
LABEL TRAUMA_HX_CHILDHOOD=""History of childhood trauma"";
FORMAT TRAUMA_HX_CHILDHOOD YNF.;","0, 12, 26, 52, 78, 104",NA,NA,,,,
Mood,"Number of adult PTSD symptoms (range: 0-5, higher=more trauma hx) [from PC-PTSD-5]",,,,C_MOPTSDADNM,PTSD_ADULT_NUM,Num/1?,Derived,NA,"NOTE: NIGHTMARES,AVOID,STARTLED,NUMB,GUILTY are from BH, CB vars were renamed to these

Continuous/BEST12.

IF TRAUMA_HX IN (0,1) THEN PTSD_ADULT_NUM=0;
ELSE IF TRAUMA_HX IN (2,3) THEN PTSD_ADULT_NUM=5*MEAN(NIGHTMARES,AVOID,STARTLED,NUMB,GUILTY)","0, 12, 26, 52, 78, 104",NA,NA,,,,
Mood,"Adult PTSD diagnosis [from PC-PTSD-5]",,,,C_MOPTSDADDX,PTSD_ADULT_DX,Num/1,Derived,NA,"YNF	
0=""0:No""
1=""1:Yes""
	
IF PTSD_ADULT_NUM>=3 THEN PTSD_ADULT_DX=1;
ELSE IF 0<=PTSD_ADULT_NUM<3 THEN PTSD_ADULT_DX=0;","0, 12, 26, 52, 78, 104",NA,NA,,,,
Mood,"History of adult trauma [from PC-PTSD-5]",,,,C_MOTRAUADHX,"TRAUMA_HX_ADULT ",Num/1,Derived,NA,"YNF	
0=""0:No""
1=""1:Yes""

**** HISTORY OF ADULT TRAUMA (ADDED 7/16/23) ****;
IF TRAUMA_HX IN (2,3) THEN TRAUMA_HX_ADULT=1;
ELSE IF TRAUMA_HX IN (0,1) THEN TRAUMA_HX_ADULT=0;
LABEL TRAUMA_HX_ADULT=""History of adult trauma"";
FORMAT TRAUMA_HX_ADULT YNF.;","0, 12, 26, 52, 78, 104",NA,NA,,,,
Mood,"PTSD diagnosis, childhood and/or adult",Yes,,,C_MOPTSDDX,"PTSD_DX ",Num/1,Derived,NA,"YNF	
0=""0:No""
1=""1:Yes""
	
**** PTSD INDICATOR ****;
	IF PTSD_CHILDHOOD_DX=1 OR PTSD_ADULT_DX=1 THEN PTSD_DX=1;
	ELSE IF PTSD_CHILDHOOD_DX=0 AND PTSD_ADULT_DX=0 THEN PTSD_DX=0;
	LABEL PTSD_DX=""PTSD diagnosis, childhood and/or adult"";
	FORMAT PTSD_DX YNF.;","0, 12, 26, 52, 78, 104",NA,NA,,,,
